Unnamed: 0,question_text,question_tokens,answer
5426,who published one flew over the cuckoos nest,"['who', 'published', 'one', 'flew', 'over', 'the', 'cuckoos', 'nest']", Viking Press
5428,who did whitney houston sing i will always love you for,"['who', 'did', 'whitney', 'houston', 'sing', 'i', 'will', 'always', 'love', 'you', 'for']", the 1992 film The Bodyguard
5431,chennai express one two three four get on the dance floor dancer,"['chennai', 'express', 'one', 'two', 'three', 'four', 'get', 'on', 'the', 'dance', 'floor', 'dancer']", Priya Vasudev Mani Iyer
5432,when did diary of a wimpy kid book come out,"['when', 'did', 'diary', 'of', 'a', 'wimpy', 'kid', 'book', 'come', 'out']"," April 1 , 2007"
5435,who said do not go gentle into that good night,"['who', 'said', 'do', 'not', 'go', 'gentle', 'into', 'that', 'good', 'night']", Welsh poet Dylan Thomas
5437,who was the first country to declare war in ww1,"['who', 'was', 'the', 'first', 'country', 'to', 'declare', 'war', 'in', 'ww1']", Austria - Hungary
5438,who sang the theme to gilligan's island,"['who', 'sang', 'the', 'theme', 'to', 'gilligan', ""'s"", 'island']", The Wellingtons
5439,when did the new dsm 5 come out,"['when', 'did', 'the', 'new', 'dsm', '5', 'come', 'out']"," May 18 , 2013"
5443,who is the new owner of rajasthan royals,"['who', 'is', 'the', 'new', 'owner', 'of', 'rajasthan', 'royals']", Manoj Badale
5444,when was the last time mt st helens showed increased activity,"['when', 'was', 'the', 'last', 'time', 'mt', 'st', 'helens', 'showed', 'increased', 'activity']"," January 16 , 2008"
5446,when did the doctrine of original sin begin,"['when', 'did', 'the', 'doctrine', 'of', 'original', 'sin', 'begin']", 2nd century
5447,who is the dad on chrisley knows best,"['who', 'is', 'the', 'dad', 'on', 'chrisley', 'knows', 'best']", Todd Chrisley
5448,where is the ovule found in a flower,"['where', 'is', 'the', 'ovule', 'found', 'in', 'a', 'flower']", gynoecium
5449,who has the number one album of all time,"['who', 'has', 'the', 'number', 'one', 'album', 'of', 'all', 'time']", Michael Jackson
5452,when does tell me a story air on cbs,"['when', 'does', 'tell', 'me', 'a', 'story', 'air', 'on', 'cbs']"," on October 31 , 2018"
5453,who owns justify the winner of the triple crown,"['who', 'owns', 'justify', 'the', 'winner', 'of', 'the', 'triple', 'crown']", WinStar Farm ( Majority Owner )
5455,what happened to the mother on make room for daddy,"['what', 'happened', 'to', 'the', 'mother', 'on', 'make', 'room', 'for', 'daddy']", Margaret suddenly had died off - screen
5462,who was the first president of i n c,"['who', 'was', 'the', 'first', 'president', 'of', 'i', 'n', 'c']", W.C. Bonnerjee
5465,when did gone with the wind won 10 academy awards,"['when', 'did', 'gone', 'with', 'the', 'wind', 'won', '10', 'academy', 'awards']", At the 12th Academy Awards
5470,who wrote the song red sails in the sunset,"['who', 'wrote', 'the', 'song', 'red', 'sails', 'in', 'the', 'sunset']", its music was written by Hugh Williams ( pseudonym for Wilhelm Grosz )
5475,who is the only second vice president of india to have worked under three different president,"['who', 'is', 'the', 'only', 'second', 'vice', 'president', 'of', 'india', 'to', 'have', 'worked', 'under', 'three', 'different', 'president']", Mohammad Hamid Ansari
5481,when does a place to call home return in 2018,"['when', 'does', 'a', 'place', 'to', 'call', 'home', 'return', 'in', '2018']", in August 2018
5484,where does the flank strap go on a bull,"['where', 'does', 'the', 'flank', 'strap', 'go', 'on', 'a', 'bull']", around the bull 's flank
5495,when was the supreme court of india first inaugurated,"['when', 'was', 'the', 'supreme', 'court', 'of', 'india', 'first', 'inaugurated']", 1 October 1937
5500,where does the conductor sit on a train,"['where', 'does', 'the', 'conductor', 'sit', 'on', 'a', 'train']", the locomotive ( or locomotives ) at the head of the train
5510,what is the main character's name in i am number four,"['what', 'is', 'the', 'main', 'character', ""'s"", 'name', 'in', 'i', 'am', 'number', 'four']", John Smith
5515,what territory did germany gain at the munich conference,"['what', 'territory', 'did', 'germany', 'gain', 'at', 'the', 'munich', 'conference']"," portions of Czechoslovakia along the country 's borders mainly inhabited by German speakers , for which a new territorial designation , the `` Sudetenland '' , was coined"
5520,actor who plays george in grey's anatomy,"['actor', 'who', 'plays', 'george', 'in', 'grey', ""'s"", 'anatomy']", Theodore Raymond `` T.R. '' Knight
5521,what is the world cup anthem for 2018,"['what', 'is', 'the', 'world', 'cup', 'anthem', 'for', '2018']", `` Colors ''
5522,who started the conversation that spawned the devops movement,"['who', 'started', 'the', 'conversation', 'that', 'spawned', 'the', 'devops', 'movement']", Patrick Debois
5525,who played the girl in pirates of the caribbean 5,"['who', 'played', 'the', 'girl', 'in', 'pirates', 'of', 'the', 'caribbean', '5']", Keira Christina Knightley
5528,when did david cassidy release i think i love you,"['when', 'did', 'david', 'cassidy', 'release', 'i', 'think', 'i', 'love', 'you']"," August 22 , 1970"
5531,when did the titan open at six flags,"['when', 'did', 'the', 'titan', 'open', 'at', 'six', 'flags']"," April 27 , 2001"
5532,when did assassin's creed freedom cry come out,"['when', 'did', 'assassin', ""'s"", 'creed', 'freedom', 'cry', 'come', 'out']"," February 18 , 2014 for North America and February 19 , 2014 for Europe"
5534,when did puerto rico become a commonwealth of the united states,"['when', 'did', 'puerto', 'rico', 'become', 'a', 'commonwealth', 'of', 'the', 'united', 'states']"," February 4 , 1952"
5539,who plays spiderman in captain america civil war,"['who', 'plays', 'spiderman', 'in', 'captain', 'america', 'civil', 'war']", Thomas Stanley Holland
5541,who played shawn douglas on days of our lives,"['who', 'played', 'shawn', 'douglas', 'on', 'days', 'of', 'our', 'lives']", Noel Bennett Castle ( 1987 )
5546,what is the function of the vena cava,"['what', 'is', 'the', 'function', 'of', 'the', 'vena', 'cava']", large vein that carries deoxygenated blood from the lower and middle body into the right atrium of the heart .
5548,what is the population of giraffes in africa,"['what', 'is', 'the', 'population', 'of', 'giraffes', 'in', 'africa']"," 97,500"
5549,when was the last time the dolphins won their division,"['when', 'was', 'the', 'last', 'time', 'the', 'dolphins', 'won', 'their', 'division']", 2008
5560,who plays abby in how i met your mother,"['who', 'plays', 'abby', 'in', 'how', 'i', 'met', 'your', 'mother']", Kristen Joy Schaal
5563,how many answers are on a magic 8 ball,"['how', 'many', 'answers', 'are', 'on', 'a', 'magic', '8', 'ball']", 20
5571,who made the slogan no taxation without representation,"['who', 'made', 'the', 'slogan', 'no', 'taxation', 'without', 'representation']"," Jonathan Mayhew , Old West Church 's second Congregational pastor"
5572,what bone allows the head to nod yes,"['what', 'bone', 'allows', 'the', 'head', 'to', 'nod', 'yes']", atlas
5573,who is the remaining contestants on the voice,"['who', 'is', 'the', 'remaining', 'contestants', 'on', 'the', 'voice']", Addison Agen
5577,when was the united nations formed and why,"['when', 'was', 'the', 'united', 'nations', 'formed', 'and', 'why']", 24 October 1945
5578,whats the world record for running a mile,"['whats', 'the', 'world', 'record', 'for', 'running', 'a', 'mile']", 3 : 43.13
5579,what do you mean by cis and trans isomerism,"['what', 'do', 'you', 'mean', 'by', 'cis', 'and', 'trans', 'isomerism']", cis indicates that the functional groups are on the same side of the carbon chain
5584,rohit sharma highest score in one day match,"['rohit', 'sharma', 'highest', 'score', 'in', 'one', 'day', 'match']", Rohit Sharma
5585,where does the last name escobar originate from,"['where', 'does', 'the', 'last', 'name', 'escobar', 'originate', 'from']", Spanish
5586,who sang west texas town of el paso,"['who', 'sang', 'west', 'texas', 'town', 'of', 'el', 'paso']", Marty Robbins
5588,when was the first battle of plassey fought,"['when', 'was', 'the', 'first', 'battle', 'of', 'plassey', 'fought']", 23 June 1757
5600,when did the cars ride open at disneyland,"['when', 'did', 'the', 'cars', 'ride', 'open', 'at', 'disneyland']"," June 15 , 2012"
5607,where was beauty and the beast 2014 filmed,"['where', 'was', 'beauty', 'and', 'the', 'beast', '2014', 'filmed']", competition at the 64th Berlin International Film Festival
5608,who made who wants to be a millionaire,"['who', 'made', 'who', 'wants', 'to', 'be', 'a', 'millionaire']", David Briggs
5610,how many levels are there in science olympiad,"['how', 'many', 'levels', 'are', 'there', 'in', 'science', 'olympiad']", two
5616,what compares distance on a map with distance on earth,"['what', 'compares', 'distance', 'on', 'a', 'map', 'with', 'distance', 'on', 'earth']", map projection
5617,who did mr drummond marry on diff'rent strokes,"['who', 'did', 'mr', 'drummond', 'marry', 'on', ""diff'rent"", 'strokes']", Maggie
5618,who is playing black panther in the movie,"['who', 'is', 'playing', 'black', 'panther', 'in', 'the', 'movie']", Chadwick Boseman
5624,when do they light up the tree in rockefeller center,"['when', 'do', 'they', 'light', 'up', 'the', 'tree', 'in', 'rockefeller', 'center']", Wednesday after Thanksgiving
5630,who build kashi vishwanath temple in 16 century,"['who', 'build', 'kashi', 'vishwanath', 'temple', 'in', '16', 'century']", Akbar
5633,who was the last person to be hanged drawn and quartered,"['who', 'was', 'the', 'last', 'person', 'to', 'be', 'hanged', 'drawn', 'and', 'quartered']", Robert Keon
5636,what was the bill of rights in germany,"['what', 'was', 'the', 'bill', 'of', 'rights', 'in', 'germany']", Twelve Articles
5637,when was father's day started in the us,"['when', 'was', 'father', ""'s"", 'day', 'started', 'in', 'the', 'us']"," The tradition was said to be started from a memorial service held for a large group of men who died in a mining accident in Monongah , West Virginia in 1907 ."
5638,what is the clock from beauty and the beast called,"['what', 'is', 'the', 'clock', 'from', 'beauty', 'and', 'the', 'beast', 'called']", Cogsworth
5640,who wrote the magazine young india in 1931,"['who', 'wrote', 'the', 'magazine', 'young', 'india', 'in', '1931']", Mohandas Karamchand Gandhi
5641,when does the new mamma mia 2 come out,"['when', 'does', 'the', 'new', 'mamma', 'mia', '2', 'come', 'out']"," July 20 , 2018"
5645,name of spider from lord of the rings,"['name', 'of', 'spider', 'from', 'lord', 'of', 'the', 'rings']", Shelob
5646,who plays the female sheriff in sons of anarchy,"['who', 'plays', 'the', 'female', 'sheriff', 'in', 'sons', 'of', 'anarchy']", Annabeth Gish
5647,what is the net worth of united states,"['what', 'is', 'the', 'net', 'worth', 'of', 'united', 'states']", $123.8 trillion
5652,who is the manager of central bank of nigeria,"['who', 'is', 'the', 'manager', 'of', 'central', 'bank', 'of', 'nigeria']", Godwin Emefiele
5653,who sang the song mind your own business,"['who', 'sang', 'the', 'song', 'mind', 'your', 'own', 'business']", Hank Williams
5654,where does red blood cell formation occur in adults,"['where', 'does', 'red', 'blood', 'cell', 'formation', 'occur', 'in', 'adults']", bone marrow
5655,what was cory monteith last episode in glee,"['what', 'was', 'cory', 'monteith', 'last', 'episode', 'in', 'glee']", 2009
5656,who did the saints beat in the super bowl,"['who', 'did', 'the', 'saints', 'beat', 'in', 'the', 'super', 'bowl']", Indianapolis Colts
5657,when was the last time england made the final of the world cup,"['when', 'was', 'the', 'last', 'time', 'england', 'made', 'the', 'final', 'of', 'the', 'world', 'cup']", 1966
5658,what movie has the song drive by the cars,"['what', 'movie', 'has', 'the', 'song', 'drive', 'by', 'the', 'cars']", Transformers
5660,who composed the music for saving private ryan,"['who', 'composed', 'the', 'music', 'for', 'saving', 'private', 'ryan']", John Williams
5661,who is telling the story in twas the night before christmas,"['who', 'is', 'telling', 'the', 'story', 'in', 'twas', 'the', 'night', 'before', 'christmas']", The father
5665,who worked out a system of plane geometry,"['who', 'worked', 'out', 'a', 'system', 'of', 'plane', 'geometry']", the Alexandrian Greek mathematician Euclid
5666,who is playing laura on days of our lives,"['who', 'is', 'playing', 'laura', 'on', 'days', 'of', 'our', 'lives']", Jaime Lyn Bauer
5668,what instrument does anna play in freaky friday,"['what', 'instrument', 'does', 'anna', 'play', 'in', 'freaky', 'friday']", guitar
5670,kalbeliya dance is form which district of rajasthan,"['kalbeliya', 'dance', 'is', 'form', 'which', 'district', 'of', 'rajasthan']"," Pali district , then Ajmer , Chittorgarh and Udaipur district"
5673,when did fortnite battle royale come out for ps4,"['when', 'did', 'fortnite', 'battle', 'royale', 'come', 'out', 'for', 'ps4']", 2017
5677,where does sea water fish get their supply of oxygen,"['where', 'does', 'sea', 'water', 'fish', 'get', 'their', 'supply', 'of', 'oxygen']", water
5679,what is the biggest college in new york,"['what', 'is', 'the', 'biggest', 'college', 'in', 'new', 'york']", Columbia University
5681,who plays the three blind mice in shrek,"['who', 'plays', 'the', 'three', 'blind', 'mice', 'in', 'shrek']", Christopher Knights
5684,where did lord of the rings get filmed,"['where', 'did', 'lord', 'of', 'the', 'rings', 'get', 'filmed']", New Zealand
5687,who won african footballer of the year 2015,"['who', 'won', 'african', 'footballer', 'of', 'the', 'year', '2015']", Pierre - Emerick Aubameyang
5692,who stars in the new movie breaking in,"['who', 'stars', 'in', 'the', 'new', 'movie', 'breaking', 'in']", Gabrielle Union
5693,ke apon ke por serial joba real name,"['ke', 'apon', 'ke', 'por', 'serial', 'joba', 'real', 'name']", Ke Apon Ke Por
5696,where was the titanic when it sank map,"['where', 'was', 'the', 'titanic', 'when', 'it', 'sank', 'map']", 370 miles ( 600 km ) south - southeast off the coast of Newfoundland
5698,when does a series of unfortunate events season 2 come out on netflix,"['when', 'does', 'a', 'series', 'of', 'unfortunate', 'events', 'season', '2', 'come', 'out', 'on', 'netflix']"," March 30 , 2018"
5701,what percentage of the us population have a college degree,"['what', 'percentage', 'of', 'the', 'us', 'population', 'have', 'a', 'college', 'degree']", 41.89 %
5706,what kind of cases do the court of appeals hear,"['what', 'kind', 'of', 'cases', 'do', 'the', 'court', 'of', 'appeals', 'hear']", an appeal of a trial court or other lower tribunal
5707,where is the pns located in the body,"['where', 'is', 'the', 'pns', 'located', 'in', 'the', 'body']", outside the brain and spinal cord
5714,first railway budget of india was presented by,"['first', 'railway', 'budget', 'of', 'india', 'was', 'presented', 'by']", John Mathai
5715,who scored 300 runs in test match for india,"['who', 'scored', '300', 'runs', 'in', 'test', 'match', 'for', 'india']", Virender Sehwag
5718,who starred in pirates of the caribbean 4,"['who', 'starred', 'in', 'pirates', 'of', 'the', 'caribbean', '4']", Johnny Depp
5722,who is the girl that plays haley in modern family,"['who', 'is', 'the', 'girl', 'that', 'plays', 'haley', 'in', 'modern', 'family']", Sarah Jane Hyland
5723,how many rounds does a lee enfield hold,"['how', 'many', 'rounds', 'does', 'a', 'lee', 'enfield', 'hold']", ten - round
5727,who plays roger the cat in open season 2,"['who', 'plays', 'roger', 'the', 'cat', 'in', 'open', 'season', '2']", Sean Mullen
5730,who approves the appointment of a supreme court justice,"['who', 'approves', 'the', 'appointment', 'of', 'a', 'supreme', 'court', 'justice']", the full United States Senate
5734,medals won by australia in commonwealth games 2018,"['medals', 'won', 'by', 'australia', 'in', 'commonwealth', 'games', '2018']"," 80 gold , 59 silver and 59 bronze"
5735,who plays snape in the harry potter movies,"['who', 'plays', 'snape', 'in', 'the', 'harry', 'potter', 'movies']", Alan Sidney Patrick Rickman
5737,where did they stay in forgetting sarah marshall,"['where', 'did', 'they', 'stay', 'in', 'forgetting', 'sarah', 'marshall']", Turtle Bay Resort
5738,when was the union of south africa formed,"['when', 'was', 'the', 'union', 'of', 'south', 'africa', 'formed']", 31 May 1910
5751,who is you're so vain written for,"['who', 'is', 'you', ""'re"", 'so', 'vain', 'written', 'for']"," refers to three men , only one of whom she has named publicly , actor Warren Beatty"
5755,when was the food and drug administration created,"['when', 'was', 'the', 'food', 'and', 'drug', 'administration', 'created']", 1927
5756,what are all the boroughs in new york,"['what', 'are', 'all', 'the', 'boroughs', 'in', 'new', 'york']", Manhattan
5757,when did the staircase on netflix come out,"['when', 'did', 'the', 'staircase', 'on', 'netflix', 'come', 'out']"," June 8 , 2018"
5758,how tall is the pine mountain ski jump,"['how', 'tall', 'is', 'the', 'pine', 'mountain', 'ski', 'jump']", 176 feet ( 54 m )
5760,who is the actor that played ethel in brickleberry,"['who', 'is', 'the', 'actor', 'that', 'played', 'ethel', 'in', 'brickleberry']"," Kaitlin Olson in season 1 , Natasha Leggero in season 2 and 3"
5764,what category was charley when it hit orlando in 2004,"['what', 'category', 'was', 'charley', 'when', 'it', 'hit', 'orlando', 'in', '2004']", Category 4
5766,the cell wall of gram-negative bacterial cells is external to the,"['the', 'cell', 'wall', 'of', 'gram-negative', 'bacterial', 'cells', 'is', 'external', 'to', 'the']", inner cytoplasmic cell membrane
5767,weep no more my lady short story james street,"['weep', 'no', 'more', 'my', 'lady', 'short', 'story', 'james', 'street']"," Good - bye , My Lady"
5771,when was the first roll of toilet paper invented,"['when', 'was', 'the', 'first', 'roll', 'of', 'toilet', 'paper', 'invented']", 1883
5772,when was the bible book of john written,"['when', 'was', 'the', 'bible', 'book', 'of', 'john', 'written']", usually dated to AD 90 -- 110
5774,who coached queensland in the 2001 state of origin series,"['who', 'coached', 'queensland', 'in', 'the', '2001', 'state', 'of', 'origin', 'series']", Wayne Bennett
5775,what season did christina yang leave grey anatomy,"['what', 'season', 'did', 'christina', 'yang', 'leave', 'grey', 'anatomy']", season 10
5776,which is the first english newspaper in india,"['which', 'is', 'the', 'first', 'english', 'newspaper', 'in', 'india']", Hicky 's Bengal Gazette or the Original Calcutta General Advertiser
5779,how many nhl goalies have scored a goal,"['how', 'many', 'nhl', 'goalies', 'have', 'scored', 'a', 'goal']", Eleven
5781,what quarterback has the most wins in nfl history,"['what', 'quarterback', 'has', 'the', 'most', 'wins', 'in', 'nfl', 'history']", Tom Brady
5784,who has won the english premier league most times,"['who', 'has', 'won', 'the', 'english', 'premier', 'league', 'most', 'times']", Manchester United
5785,who was the shooter at columbine high school,"['who', 'was', 'the', 'shooter', 'at', 'columbine', 'high', 'school']", Eric Harris
5786,when does shadow of war take place in lord of the rings,"['when', 'does', 'shadow', 'of', 'war', 'take', 'place', 'in', 'lord', 'of', 'the', 'rings']", between the events of The Hobbit and The Lord of the Rings
5788,who is having the highest followers on instagram,"['who', 'is', 'having', 'the', 'highest', 'followers', 'on', 'instagram']"," Instagram 's own account , with over 235 million followers"
5790,who plays little sam in game of thrones,"['who', 'plays', 'little', 'sam', 'in', 'game', 'of', 'thrones']", John Bradley West
5792,how many hotel rooms are their in the hilton university of houston,"['how', 'many', 'hotel', 'rooms', 'are', 'their', 'in', 'the', 'hilton', 'university', 'of', 'houston']", 86
5793,when was the last time the st louis cardinals finished in last place,"['when', 'was', 'the', 'last', 'time', 'the', 'st', 'louis', 'cardinals', 'finished', 'in', 'last', 'place']", 1918
5795,where does let's make a deal tape,"['where', 'does', 'let', ""'s"", 'make', 'a', 'deal', 'tape']", Raleigh Studios
5796,who played michael the wraith on stargate atlantis,"['who', 'played', 'michael', 'the', 'wraith', 'on', 'stargate', 'atlantis']", Connor Trinneer
5799,what episode of black mirror was hannah john kamen in,"['what', 'episode', 'of', 'black', 'mirror', 'was', 'hannah', 'john', 'kamen', 'in']", Episode `` Fifteen Million Merits ''
5800,when does george in grey's anatomy die,"['when', 'does', 'george', 'in', 'grey', ""'s"", 'anatomy', 'die']", the fifth season
5803,how many sims 4 expansion packs are there,"['how', 'many', 'sims', '4', 'expansion', 'packs', 'are', 'there']", three
5805,who does bruce willis play in over the hedge,"['who', 'does', 'bruce', 'willis', 'play', 'in', 'over', 'the', 'hedge']"," RJ , a raccoon who is duplicitous , selfish , and extremely intelligent"
5807,who did the music for a quiet place,"['who', 'did', 'the', 'music', 'for', 'a', 'quiet', 'place']", Marco Beltrami
5810,ieee single precision floating point number in binary,"['ieee', 'single', 'precision', 'floating', 'point', 'number', 'in', 'binary']", binary32
5813,where is the thymus located on the body,"['where', 'is', 'the', 'thymus', 'located', 'on', 'the', 'body']"," in the anterior superior mediastinum , in front of the heart and behind the sternum"
5817,who plays the clown in the first it,"['who', 'plays', 'the', 'clown', 'in', 'the', 'first', 'it']", Tim Curry
5820,where is the grey's anatomy set located,"['where', 'is', 'the', 'grey', ""'s"", 'anatomy', 'set', 'located']"," Prospect Studios in Los Feliz , just east of Hollywood"
5826,union generals civil war army of the potomac,"['union', 'generals', 'civil', 'war', 'army', 'of', 'the', 'potomac']", George B. McClellan
5827,how can flash gas in the liquid line be identified,"['how', 'can', 'flash', 'gas', 'in', 'the', 'liquid', 'line', 'be', 'identified']", observation of bubbles or gas presence
5830,what year did the great outdoors come out,"['what', 'year', 'did', 'the', 'great', 'outdoors', 'come', 'out']", 1988
5833,what is the approximate wavelength range for visible light,"['what', 'is', 'the', 'approximate', 'wavelength', 'range', 'for', 'visible', 'light']", 390 to 700 nm
5840,total number of pti seats in national assembly,"['total', 'number', 'of', 'pti', 'seats', 'in', 'national', 'assembly']", 158
5841,who won the 2017 china open tennis tournament,"['who', 'won', 'the', '2017', 'china', 'open', 'tennis', 'tournament']", Rafael Nadal
5842,when was the hammersmith and city line built,"['when', 'was', 'the', 'hammersmith', 'and', 'city', 'line', 'built']"," Infrastructure opened in stages between 1863 and 1902 , shown as a separate line on the tube map from 1990"
5844,when is it revealed that luke and leia are siblings,"['when', 'is', 'it', 'revealed', 'that', 'luke', 'and', 'leia', 'are', 'siblings']", In Return of the Jedi
5848,when did the shooting in las vegas happen 2017,"['when', 'did', 'the', 'shooting', 'in', 'las', 'vegas', 'happen', '2017']", October 1
5849,who is the nobel peace prize given to,"['who', 'is', 'the', 'nobel', 'peace', 'prize', 'given', 'to']"," to those who have `` done the most or the best work for fraternity between nations , for the abolition or reduction of standing armies and for the holding and promotion of peace congresses ''"
5855,who is credited with the development of the first intelligence test,"['who', 'is', 'credited', 'with', 'the', 'development', 'of', 'the', 'first', 'intelligence', 'test']", Alfred Binet
5857,cast of the secret life of kathy mccormick,"['cast', 'of', 'the', 'secret', 'life', 'of', 'kathy', 'mccormick']", Barbara Eden
5858,when does boku no hero academia anime come out,"['when', 'does', 'boku', 'no', 'hero', 'academia', 'anime', 'come', 'out']"," April 1 , 2017"
5859,who plays the daughter in the series yellowstone,"['who', 'plays', 'the', 'daughter', 'in', 'the', 'series', 'yellowstone']", Kelly Reilly
5862,who produced age aint nothing but a number,"['who', 'produced', 'age', 'aint', 'nothing', 'but', 'a', 'number']", Barry Hankerson ( exec . )
5863,who owns the largest home in the us,"['who', 'owns', 'the', 'largest', 'home', 'in', 'the', 'us']", William A.V. Cecil Jr .
5864,who was the last person to break a backboard in the nba,"['who', 'was', 'the', 'last', 'person', 'to', 'break', 'a', 'backboard', 'in', 'the', 'nba']", Olympiacos starter and former NBA player Joey Dorsey
5866,shugo chara who does amu end up with,"['shugo', 'chara', 'who', 'does', 'amu', 'end', 'up', 'with']", Tadase
5868,8. in 1936 which state became the first to be formed on linguistic basis,"['8', '.', 'in', '1936', 'which', 'state', 'became', 'the', 'first', 'to', 'be', 'formed', 'on', 'linguistic', 'basis']", Orissa Province
5869,who is the united states secretary of education,"['who', 'is', 'the', 'united', 'states', 'secretary', 'of', 'education']", Betsy DeVos
5872,what did the ancient romans build to maintain the supply of water in their cities,"['what', 'did', 'the', 'ancient', 'romans', 'build', 'to', 'maintain', 'the', 'supply', 'of', 'water', 'in', 'their', 'cities']", aqueducts
5873,what is ode to my family by the cranberries about,"['what', 'is', 'ode', 'to', 'my', 'family', 'by', 'the', 'cranberries', 'about']", Dolores 's yearning for her simple life as a child after having achieved success
5877,what's the latest episode of criminal minds,"['what', ""'s"", 'the', 'latest', 'episode', 'of', 'criminal', 'minds']"," April 18 , 2018"
5879,who is the original singer of galway girl,"['who', 'is', 'the', 'original', 'singer', 'of', 'galway', 'girl']", Steve Earle
5883,chemical signals that act from cell to cell are called,"['chemical', 'signals', 'that', 'act', 'from', 'cell', 'to', 'cell', 'are', 'called']", Juxtacrine
5887,what is the most common language spoken in the middle east,"['what', 'is', 'the', 'most', 'common', 'language', 'spoken', 'in', 'the', 'middle', 'east']", Arabic
5888,who's playing in the chick-fil-a kickoff game,"['who', ""'s"", 'playing', 'in', 'the', 'chick-fil-a', 'kickoff', 'game']", Auburn Tigers
5890,when did to tell the truth first air,"['when', 'did', 'to', 'tell', 'the', 'truth', 'first', 'air']"," Tuesday , December 18 , 1956"
5900,who was the smoking man on the x-files,"['who', 'was', 'the', 'smoking', 'man', 'on', 'the', 'x-files']", Canadian actor William B. Davis
5905,who said one if by land two if by sea,"['who', 'said', 'one', 'if', 'by', 'land', 'two', 'if', 'by', 'sea']", Paul Revere
5906,what version of sql server does azure use,"['what', 'version', 'of', 'sql', 'server', 'does', 'azure', 'use']", 2016 codebase
5909,what is the maze runner book series about,"['what', 'is', 'the', 'maze', 'runner', 'book', 'series', 'about']", tells how the world was devastated by a series of massive solar flares and coronal mass ejections
5911,what is the normal range for urea nitrogen,"['what', 'is', 'the', 'normal', 'range', 'for', 'urea', 'nitrogen']", between 6 and 20 mg of urea nitrogen per 100 ml ( 6 -- 20 mg / dL ) of blood
5913,when did the united arab emirates gain independence,"['when', 'did', 'the', 'united', 'arab', 'emirates', 'gain', 'independence']", 1968
5917,what production model was the tiger i tank of world war ii,"['what', 'production', 'model', 'was', 'the', 'tiger', 'i', 'tank', 'of', 'world', 'war', 'ii']", Panzerkampfwagen VI Tiger Ausf . E
5919,where does wicked tuna outer banks take place,"['where', 'does', 'wicked', 'tuna', 'outer', 'banks', 'take', 'place']", North Carolina
5920,netflix series of unfortunate events season 2 release,"['netflix', 'series', 'of', 'unfortunate', 'events', 'season', '2', 'release']"," March 30 , 2018"
5921,who is the young guitarist who played with buddy guy,"['who', 'is', 'the', 'young', 'guitarist', 'who', 'played', 'with', 'buddy', 'guy']", Quinn Sullivan
5923,where did the band reo speedwagon get its name,"['where', 'did', 'the', 'band', 'reo', 'speedwagon', 'get', 'its', 'name']"," from the REO Speed Wagon , a flatbed truck Doughty had studied in transportation history"
5925,episode of the office where michael drives into the lake,"['episode', 'of', 'the', 'office', 'where', 'michael', 'drives', 'into', 'the', 'lake']", `` Dunder Mifflin Infinity ''
5927,when does monk find out who killed trudy,"['when', 'does', 'monk', 'find', 'out', 'who', 'killed', 'trudy']", Mr. Monk and the End
5928,french dj whose hits include when love takes over,"['french', 'dj', 'whose', 'hits', 'include', 'when', 'love', 'takes', 'over']", David Guetta
5934,who played the phantom of the opera in 1986,"['who', 'played', 'the', 'phantom', 'of', 'the', 'opera', 'in', '1986']", Michael Crawford
5936,who plays black widow in iron man 2,"['who', 'plays', 'black', 'widow', 'in', 'iron', 'man', '2']", Scarlett Johansson
5938,ek veer ki ardaas veera meaning in english,"['ek', 'veer', 'ki', 'ardaas', 'veera', 'meaning', 'in', 'english']", A Brother 's Prayer ... Veera
5939,who is regarded as the first important artist of the italian renaissance,"['who', 'is', 'regarded', 'as', 'the', 'first', 'important', 'artist', 'of', 'the', 'italian', 'renaissance']", Giotto
5948,when did days of our lives first air,"['when', 'did', 'days', 'of', 'our', 'lives', 'first', 'air']"," November 8 , 1965"
5950,who plays the fairy godmother in the new cinderella,"['who', 'plays', 'the', 'fairy', 'godmother', 'in', 'the', 'new', 'cinderella']", Helena Bonham Carter
5959,which amendment guaranteed the equal protection of laws to all american citizens,"['which', 'amendment', 'guaranteed', 'the', 'equal', 'protection', 'of', 'laws', 'to', 'all', 'american', 'citizens']", the Fourteenth Amendment
1,who presided over the first session of muslim league at dhaka,"['who', 'presided', 'over', 'the', 'first', 'session', 'of', 'muslim', 'league', 'at', 'dhaka']", Nawab Sir Khwaja Salimullah
3,who is generally accepted to be the author of the gospel of matthew,"['who', 'is', 'generally', 'accepted', 'to', 'be', 'the', 'author', 'of', 'the', 'gospel', 'of', 'matthew']"," a male Jew , standing on the margin between traditional and non-traditional Jewish values , and familiar with technical legal aspects of scripture being debated in his time"
6,who wrote of principles of revolution in his catechism of the revolutionary ​,"['who', 'wrote', 'of', 'principles', 'of', 'revolution', 'in', 'his', 'catechism', 'of', 'the', 'revolutionary', '\u200b']", Sergey Nechayev
7,what is the highest score on the asfab,"['what', 'is', 'the', 'highest', 'score', 'on', 'the', 'asfab']", 99
12,what season does callie leave grey's anatomy,"['what', 'season', 'does', 'callie', 'leave', 'grey', ""'s"", 'anatomy']", the end of the show 's twelfth season
