question_text,question_tokens,predicted_parametric_answers,answer,Unnamed: 0
what did pryzm nottingham used to be called,"['what', 'did', 'pryzm', 'nottingham', 'used', 'to', 'be', 'called']",palais de danse, Palais de Danse,3384
what did the barons do in the feudal system,"['what', 'did', 'the', 'barons', 'do', 'in', 'the', 'feudal', 'system']",held land by feudal tenure directly from the king as their sole overlord and were granted by him a legal jurisdiction court baron over their territory, tenants - in - chief,1639
what did the girl have on brain on fire,"['what', 'did', 'the', 'girl', 'have', 'on', 'brain', 'on', 'fire']",anti nmda receptor encephalitis, anti-NMDA receptor encephalitis,3191
what did the supreme court rule about the second bank of the united states,"['what', 'did', 'the', 'supreme', 'court', 'rule', 'about', 'the', 'second', 'bank', 'of', 'the', 'united', 'states']",affirmed the constitutionality of the bank under mcculloch v maryland," affirmed the constitutionality of the bank under McCulloch v. Maryland ,",630
what disease does the narrator in the tell tale heart have,"['what', 'disease', 'does', 'the', 'narrator', 'in', 'the', 'tell', 'tale', 'heart', 'have']",nervousness, nervousness,5439
what do the british call a garbage truck,"['what', 'do', 'the', 'british', 'call', 'a', 'garbage', 'truck']",, dustcart,3778
what do the opposite sides of a dice add up to,"['what', 'do', 'the', 'opposite', 'sides', 'of', 'a', 'dice', 'add', 'up', 'to']",seven, seven,4933
what do you call a person who does acrobatics,"['what', 'do', 'you', 'call', 'a', 'person', 'who', 'does', 'acrobatics']",acrobat, acrobat,865
what do you call animals live in water,"['what', 'do', 'you', 'call', 'animals', 'live', 'in', 'water']",aquatic animal, aquatic animal,5207
what do you call someone who lives in utah,"['what', 'do', 'you', 'call', 'someone', 'who', 'lives', 'in', 'utah']",, Utahn,5619
what do you mean by adapted physical education,"['what', 'do', 'you', 'mean', 'by', 'adapted', 'physical', 'education']",developing implementing and monitoring a carefully designed physical education instructional program for a learner with a disability based on a comprehensive assessment to give the learner the skills necessary for a lifetime of rich leisure recreation and sport experiences to enhance physical fitness and wellness," the art and science of developing , implementing , and monitoring a carefully designed physical education instructional program for a learner with a disability , based on a comprehensive assessment , to give the learner the skills necessary for a lifetime of rich leisure , recreation , and sport experiences to enhance physical fitness and wellness",3494
what do you mean by double entry system of accounting,"['what', 'do', 'you', 'mean', 'by', 'double', 'entry', 'system', 'of', 'accounting']",because every entry to an account requires a corresponding and opposite entry to a different account, every entry to an account requires a corresponding and opposite entry to a different account,777
what do you mean by holozoic mode of nutrition,"['what', 'do', 'you', 'mean', 'by', 'holozoic', 'mode', 'of', 'nutrition']",internalization ingestion and internal processing of gaseous liquids or solid food particles," the internalization ( ingestion ) and internal processing of gaseous , liquids or solid food particles",2597
what does barium do in a ct scan,"['what', 'does', 'barium', 'do', 'in', 'a', 'ct', 'scan']",improve visualization of the gastrointestinal tract esophagus stomach intestines, improve visualization,2802
what does berg mean at the end of a name,"['what', 'does', 'berg', 'mean', 'at', 'the', 'end', 'of', 'a', 'name']",, mountain,604
what does cantina mean in english from spanish,"['what', 'does', 'cantina', 'mean', 'in', 'english', 'from', 'spanish']",bar room saloon, bar room,2828
what does conflict of interest mean in law,"['what', 'does', 'conflict', 'of', 'interest', 'mean', 'in', 'law']",duty of loyalty owed to a client, duty of loyalty owed to a client prohibits an attorney ( or a law firm ) from representing any other party with interests adverse to those of a current client,4487
what does curb weight mean on a truck,"['what', 'does', 'curb', 'weight', 'mean', 'on', 'a', 'truck']",the total weight of a vehicle," the total weight of a vehicle with standard equipment , all necessary operating consumables such as motor oil , transmission oil , coolant , air conditioning refrigerant , and sometimes a full tank of fuel , while not loaded with either passengers or cargo",4679
what does defender mean in magic the gathering,"['what', 'does', 'defender', 'mean', 'in', 'magic', 'the', 'gathering']",ca n t attack, ca n't attack,4945
what does going to see the elephant mean,"['what', 'does', 'going', 'to', 'see', 'the', 'elephant', 'mean']",gaining experience of the world at a significant cost, gaining experience of the world at a significant cost,5932
what does hg stand for in metric system,"['what', 'does', 'hg', 'stand', 'for', 'in', 'metric', 'system']",inch of mercury, Inch of mercury,5933
what does ho ho ho merry christmas mean,"['what', 'does', 'ho', 'ho', 'ho', 'merry', 'christmas', 'mean']",the way that many languages write out how santa claus laughs ho ho ho merry christmas it is the textual rendition of a particular type of deep throated laugh or chuckle most associated today with santa claus and father christmas," textual rendition of a particular type of deep - throated laugh or chuckle , most associated today with Santa Claus and Father Christmas .",1726
what does it mean for a digit to be significant,"['what', 'does', 'it', 'mean', 'for', 'a', 'digit', 'to', 'be', 'significant']",contributing to its measurement resolution, digits that carry meaning contributing to its measurement resolution,1490
what does it mean when your drooling a lot,"['what', 'does', 'it', 'mean', 'when', 'your', 'drooling', 'a', 'lot']",hypersalivation, Hypersalivation,961
what does motion plus do on wii controller,"['what', 'does', 'motion', 'plus', 'do', 'on', 'wii', 'controller']",allows it to capture complex motion, capture complex motion more accurately,785
what does pt stand for in the army,"['what', 'does', 'pt', 'stand', 'for', 'in', 'the', 'army']",physical training uniform, physical training,667
what does sb in sb nation stand for,"['what', 'does', 'sb', 'in', 'sb', 'nation', 'stand', 'for']",sports blog nation, Sports Blog,4658
what does stan mean at the end of a country name,"['what', 'does', 'stan', 'mean', 'at', 'the', 'end', 'of', 'a', 'country', 'name']",place of or country, `` place of '' or `` country '',4232
what does the a stand for in uae,"['what', 'does', 'the', 'a', 'stand', 'for', 'in', 'uae']",the uae telecommunications regulatory authority, Arab,4178
what does the acrosome do in a sperm cell,"['what', 'does', 'the', 'acrosome', 'do', 'in', 'a', 'sperm', 'cell']",fertilization, releases hyaluronidase and acrosin,889
what does the father son and the holy spirit mean,"['what', 'does', 'the', 'father', 'son', 'and', 'the', 'holy', 'spirit', 'mean']",god is three consubstantial persons or hypostases the father the son jesus christ and the holy spirit as one god in three divine persons the three persons are distinct yet are one substance essence or nature homoousios, The Christian doctrine of the Trinity,1799
what does the sun symbolize in the philippine flag,"['what', 'does', 'the', 'sun', 'symbolize', 'in', 'the', 'philippine', 'flag']",unity, unity,6099
what does the wilcoxon signed rank test measure,"['what', 'does', 'the', 'wilcoxon', 'signed', 'rank', 'test', 'measure']",to compare two related samples matched samples or repeated measurements on a single sample to assess whether their population mean ranks differ," two related samples , matched samples , or repeated measurements on a single sample to assess whether their population mean ranks differ ( i.e. it is a paired difference test )",4097
what does unesco do for world heritage sites,"['what', 'does', 'unesco', 'do', 'for', 'world', 'heritage', 'sites']",practical conservation for posterity, practical conservation for posterity,4809
what drug did tony soprano take in vegas,"['what', 'drug', 'did', 'tony', 'soprano', 'take', 'in', 'vegas']",, marijuana,6046
what elements of outdoor games were combined to create basketball,"['what', 'elements', 'of', 'outdoor', 'games', 'were', 'combined', 'to', 'create', 'basketball']",baseketball, game of basketball with baseball rules,3477
what engine does call of duty run on,"['what', 'engine', 'does', 'call', 'of', 'duty', 'run', 'on']",the iw engine, The IW engine,484
what episode do dean and sam meet castiel,"['what', 'episode', 'do', 'dean', 'and', 'sam', 'meet', 'castiel']",lazarus rising, `` Lazarus Rising '',1250
what episode does olivia die in the walking dead,"['what', 'episode', 'does', 'olivia', 'die', 'in', 'the', 'walking', 'dead']",, Hearts Still Beating,4492
what episode does reid get caught with drugs,"['what', 'episode', 'does', 'reid', 'get', 'caught', 'with', 'drugs']",elephant s memory, `` Elephant 's Memory '',3752
what episode in victorious is give it up,"['what', 'episode', 'in', 'victorious', 'is', 'give', 'it', 'up']",, Freak the Freak Out,84
what episode of ghost whisper does jim die,"['what', 'episode', 'of', 'ghost', 'whisper', 'does', 'jim', 'die']",, Imaginary Friends and Enemies,1241
what episode of law and order svu is sophia bush in,"['what', 'episode', 'of', 'law', 'and', 'order', 'svu', 'is', 'sophia', 'bush', 'in']",chicago crossover, Chicago Crossover,1634
what episode of new girl do they play true american,"['what', 'episode', 'of', 'new', 'girl', 'do', 'they', 'play', 'true', 'american']",normal, `` Normal '',3190
what file system supports the use of efs,"['what', 'file', 'system', 'supports', 'the', 'use', 'of', 'efs']",microsoft windows, NTFS,3641
what football team is going to las vegas,"['what', 'football', 'team', 'is', 'going', 'to', 'las', 'vegas']",oakland raiders, Oakland Raiders,2516
what form of exercise does the muscle contract and does not lengthen nor shorten,"['what', 'form', 'of', 'exercise', 'does', 'the', 'muscle', 'contract', 'and', 'does', 'not', 'lengthen', 'nor', 'shorten']",isometric, isometric,3719
what function did the chorus serve in classical greek theatre,"['what', 'function', 'did', 'the', 'chorus', 'serve', 'in', 'classical', 'greek', 'theatre']",offered a variety of background and summary information to help the audience follow the performance, offered a variety of background and summary information to help the audience follow the performance,157
what general led the confederate army into pennsylvania,"['what', 'general', 'led', 'the', 'confederate', 'army', 'into', 'pennsylvania']",robert e lee, Robert E. Lee,2523
what genre is our town by thornton wilder,"['what', 'genre', 'is', 'our', 'town', 'by', 'thornton', 'wilder']",, Drama,615
what grade is trevor in pay it forward,"['what', 'grade', 'is', 'trevor', 'in', 'pay', 'it', 'forward']",th grade, 7th grade,1245
what grade were eric harris and dylan klebold in,"['what', 'grade', 'were', 'eric', 'harris', 'and', 'dylan', 'klebold', 'in']",twelfth grade, twelfth grade,5108
what happened to ivan drago after he lost,"['what', 'happened', 'to', 'ivan', 'drago', 'after', 'he', 'lost']",not permitted to resume his boxing career, was not permitted to resume his boxing career after his loss to Rocky Balboa because of the special circumstance that he could not officially turn pro in the USSR,3803
what happened to the show lie to me,"['what', 'happened', 'to', 'the', 'show', 'lie', 'to', 'me']",may entertainment weekly reported that lie to me received a episode third season pick up the third season of lie to me was originally set to premiere on november on september the date was moved up to october because of the cancellation of lone star, Fox canceled the series,385
what happens at the end of roll of thunder hear my cry,"['what', 'happens', 'at', 'the', 'end', 'of', 'roll', 'of', 'thunder', 'hear', 'my', 'cry']",," Mrs. Barnett survives the burglary , but Mr. Barnett dies . The sheriff arrests T.J. and Cassie realizes that Papa set the fire to save T.J. Stacey asks what T.J. 's fate will be . Papa replies that he will be convicted of Mr. Barnett 's murder and may be executed . Cassie , overwhelmed by the news , silently goes to bed . Although Cassie never liked T.J. , she cries for him and the land .",5461
what happens to hermann at the end of the story,"['what', 'happens', 'to', 'hermann', 'at', 'the', 'end', 'of', 'the', 'story']",, goes mad and is committed to an asylum,2645
what happens to the artful dodger in oliver twist,"['what', 'happens', 'to', 'the', 'artful', 'dodger', 'in', 'oliver', 'twist']",caught with a stolen silver snuff box and presumably sent to a penal colony in australia, caught with a stolen silver snuff box and presumably sent to a penal colony in Australia ( only alluded to in the novel ),4828
what horse holds the record for the belmont,"['what', 'horse', 'holds', 'the', 'record', 'for', 'the', 'belmont']",the belmont stakes is an american grade i stakes thoroughbred horse race held on the first or second saturday in june at belmont park in elmont new york, Secretariat,5145
what iron maiden album is the trooper on,"['what', 'iron', 'maiden', 'album', 'is', 'the', 'trooper', 'on']",piece of mind, Piece of Mind,874
what is a college diploma called in canada,"['what', 'is', 'a', 'college', 'diploma', 'called', 'in', 'canada']",technical applied arts or applied science school, certificates,4364
what is a curate in the anglican church,"['what', 'is', 'a', 'curate', 'in', 'the', 'anglican', 'church']",priests or in the first year transitional deacons who are in their first post after ordination usually for four years and are completing their training not unlike an apprenticeship the technical term curate as found in the book of common prayer meant the incumbent of a benefice," priests ( or , in the first year , transitional deacons ) who are in their first post after ordination ( usually for four years ) , and are completing their training ( not unlike an apprenticeship )",2673
what is a days journey in the bible,"['what', 'is', 'a', 'days', 'journey', 'in', 'the', 'bible']",miles, 20 -- 25 miles,5144
what is a jag in the air force,"['what', 'is', 'a', 'jag', 'in', 'the', 'air', 'force']",judge advocate general s corps, Judge Advocate General,1620
what is a pre authorized credit card payment,"['what', 'is', 'a', 'pre', 'authorized', 'credit', 'card', 'payment']",authorization hold," the practice within the banking industry of verifying electronic transactions initiated with a debit card or credit card and rendering this balance as unavailable until either the merchant clears the transaction , also called settlement , or the hold `` falls off . ''",2145
what is a supreme court justices term of office,"['what', 'is', 'a', 'supreme', 'court', 'justices', 'term', 'of', 'office']",lifetime tenure, lifetime,3332
what is another name for the red sea,"['what', 'is', 'another', 'name', 'for', 'the', 'red', 'sea']",erythraean sea, Erythraean Sea,2463
what is average height for a man in canada,"['what', 'is', 'average', 'height', 'for', 'a', 'man', 'in', 'canada']",cm ft in, 175.1 cm ( 5 ft 9 in ),255
what is charlotte real name in henry danger,"['what', 'is', 'charlotte', 'real', 'name', 'in', 'henry', 'danger']",jace norman, Riele Downs,5059
what is chuck roast called in the uk,"['what', 'is', 'chuck', 'roast', 'called', 'in', 'the', 'uk']",braising steak, braising steak,5228
what is it called when a vampire hypnotizes you in vampire diaries,"['what', 'is', 'it', 'called', 'when', 'a', 'vampire', 'hypnotizes', 'you', 'in', 'vampire', 'diaries']",, compel,1151
what is it called when the time changes,"['what', 'is', 'it', 'called', 'when', 'the', 'time', 'changes']",daylight saving time, Daylight saving time,1753
what is mercer in do androids dream of electric sheep,"['what', 'is', 'mercer', 'in', 'do', 'androids', 'dream', 'of', 'electric', 'sheep']",, eternally climbs up a hill while being hit with crashing stones,3405
what is the actual decimal numeric value of the symbol eof,"['what', 'is', 'the', 'actual', 'decimal', 'numeric', 'value', 'of', 'the', 'symbol', 'eof']",equal to the symbolic value macro eof to indicate that an end of file condition has occurred," implementation - dependent ( but is commonly - 1 , such as in glibc )",4686
what is the anatomical name for the elbow joint,"['what', 'is', 'the', 'anatomical', 'name', 'for', 'the', 'elbow', 'joint']",cubitus, synovial hinge joint,5900
what is the average weight for a woman in america,"['what', 'is', 'the', 'average', 'weight', 'for', 'a', 'woman', 'in', 'america']",kg lb, 168.4 lb,2569
what is the best selling chocolate in the world,"['what', 'is', 'the', 'best', 'selling', 'chocolate', 'in', 'the', 'world']",reese s peanut butter cups, Reese 's Peanut Butter Cups,883
what is the birds name from lion king,"['what', 'is', 'the', 'birds', 'name', 'from', 'lion', 'king']",zazu, Zazu,2212
what is the biuret test used to test for in the medical field,"['what', 'is', 'the', 'biuret', 'test', 'used', 'to', 'test', 'for', 'in', 'the', 'medical', 'field']",peptide bonds, peptide bonds,681
what is the blue guys name from guardians of the galaxy,"['what', 'is', 'the', 'blue', 'guys', 'name', 'from', 'guardians', 'of', 'the', 'galaxy']",yondu udonta, Yondu Udonta,786
what is the botanical name of siam weed,"['what', 'is', 'the', 'botanical', 'name', 'of', 'siam', 'weed']",chromolaena odorata, Chromolaena odorata,3730
what is the capital of azerbaijan in europe,"['what', 'is', 'the', 'capital', 'of', 'azerbaijan', 'in', 'europe']",baku, Baku,1023
what is the climate of the great basin,"['what', 'is', 'the', 'climate', 'of', 'the', 'great', 'basin']",extremes," hot , dry summers and cold , snowy winters",1770
what is the color of the american flag,"['what', 'is', 'the', 'color', 'of', 'the', 'american', 'flag']",red, red,3717
what is the contribution of nek chand in the world of art,"['what', 'is', 'the', 'contribution', 'of', 'nek', 'chand', 'in', 'the', 'world', 'of', 'art']",building the rock garden of chandigarh, Rock Garden of Chandigarh,4739
what is the country with the largest muslim population,"['what', 'is', 'the', 'country', 'with', 'the', 'largest', 'muslim', 'population']",afghanistan, Afghanistan,2319
what is the creature in the mines of moria,"['what', 'is', 'the', 'creature', 'in', 'the', 'mines', 'of', 'moria']",balrogs, Balrogs,4458
what is the current episode of love island,"['what', 'is', 'the', 'current', 'episode', 'of', 'love', 'island']",, Day 59,4250
what is the definition of a migrant student,"['what', 'is', 'the', 'definition', 'of', 'a', 'migrant', 'student']",struggle to achieve the same level of educational success as their peers relocation causes discontinuity in education which causes migrant students to progress slowly through school and drop out at high rates additionally relocation has negative social consequences on students isolation from peers due to cultural differences and language barriers migrant children defined as those who relocate because of involvement with agriculture related industries or other seasonal work, those who relocate because of involvement with agriculture - related industries or other seasonal work,5239
what is the distance to space from earth,"['what', 'is', 'the', 'distance', 'to', 'space', 'from', 'earth']",km mi, 100 km ( 62 mi ) above sea level,1268
what is the end of the bone called,"['what', 'is', 'the', 'end', 'of', 'the', 'bone', 'called']",diaphysis with an epiphysis, epiphysis,2722
what is the enrollment of loyola university in chicago,"['what', 'is', 'the', 'enrollment', 'of', 'loyola', 'university', 'in', 'chicago']",approximately students," approximately 16,000 students",2536
what is the fake name that odysseus gives,"['what', 'is', 'the', 'fake', 'name', 'that', 'odysseus', 'gives']",outis, Outis,3556
what is the female end of a garden hose,"['what', 'is', 'the', 'female', 'end', 'of', 'a', 'garden', 'hose']",mate with the female connector on another, connector,5327
what is the final electron acceptor in the electron transport chain of cellular respiration,"['what', 'is', 'the', 'final', 'electron', 'acceptor', 'in', 'the', 'electron', 'transport', 'chain', 'of', 'cellular', 'respiration']",oxygen, other inorganic molecules,4114
what is the first dragon ball z movie,"['what', 'is', 'the', 'first', 'dragon', 'ball', 'z', 'movie']",, Curse of the Blood Rubies,1102
what is the first episode of american horror story apocalypse,"['what', 'is', 'the', 'first', 'episode', 'of', 'american', 'horror', 'story', 'apocalypse']",, The End,3762
what is the fourth largest country in south america,"['what', 'is', 'the', 'fourth', 'largest', 'country', 'in', 'south', 'america']",brazil, Colombia,6061
what is the full form of als disease,"['what', 'is', 'the', 'full', 'form', 'of', 'als', 'disease']",amyotrophic lateral sclerosis, Amyotrophic lateral sclerosis,897
what is the full form of tmc party,"['what', 'is', 'the', 'full', 'form', 'of', 'tmc', 'party']",the all india trinamool congress, The All India Trinamool Congress,1763
what is the genre of holes by louis sachar,"['what', 'is', 'the', 'genre', 'of', 'holes', 'by', 'louis', 'sachar']",young adult mystery comedy, young adult mystery comedy novel,1093
what is the head of a jail called,"['what', 'is', 'the', 'head', 'of', 'a', 'jail', 'called']",warden, warden,2033
what is the height of mount olympus in greece,"['what', 'is', 'the', 'height', 'of', 'mount', 'olympus', 'in', 'greece']",metres ft," 2,918 metres ( 9,573 ft )",4576
what is the highest court in the united states,"['what', 'is', 'the', 'highest', 'court', 'in', 'the', 'united', 'states']",the supreme court of the united states, The Supreme Court of the United States,5079
what is the highest scoring game in nfl history,"['what', 'is', 'the', 'highest', 'scoring', 'game', 'in', 'nfl', 'history']",november," November 27 , 1966",71
what is the hottest temperature ever recorded in new york,"['what', 'is', 'the', 'hottest', 'temperature', 'ever', 'recorded', 'in', 'new', 'york']",f c, 109 ° F / 42 ° C,3883
what is the importance of surfactant in the lungs,"['what', 'is', 'the', 'importance', 'of', 'surfactant', 'in', 'the', 'lungs']",to increase pulmonary compliance, To increase pulmonary compliance,3816
what is the killers somebody told me about,"['what', 'is', 'the', 'killers', 'somebody', 'told', 'me', 'about']",story of trying to meet someone in a club, story of trying to meet someone in a club,2305
what is the largest state in south india in area,"['what', 'is', 'the', 'largest', 'state', 'in', 'south', 'india', 'in', 'area']",andhra pradesh, Karnataka,1510
what is the largest village in the united states,"['what', 'is', 'the', 'largest', 'village', 'in', 'the', 'united', 'states']",skokie, Skokie,5520
what is the last episode of the office,"['what', 'is', 'the', 'last', 'episode', 'of', 'the', 'office']",finale, `` Finale '',3645
what is the length of the coastline of india,"['what', 'is', 'the', 'length', 'of', 'the', 'coastline', 'of', 'india']",km mi," 7,516.6 km ( 4,671 mi )",1779
what is the main component of the hypodermis,"['what', 'is', 'the', 'main', 'component', 'of', 'the', 'hypodermis']",loose connective tissue and lobules of fat, loose connective tissue and lobules of fat,1987
what is the main industry in the dominican republic,"['what', 'is', 'the', 'main', 'industry', 'in', 'the', 'dominican', 'republic']",agriculture, agriculture,5589
what is the main language in czech republic,"['what', 'is', 'the', 'main', 'language', 'in', 'czech', 'republic']",czech, Czech,2489
what is the main language spoken in cape town,"['what', 'is', 'the', 'main', 'language', 'spoken', 'in', 'cape', 'town']",, Afrikaans,5134
what is the main role of the financial services compensation scheme,"['what', 'is', 'the', 'main', 'role', 'of', 'the', 'financial', 'services', 'compensation', 'scheme']",deposit insurance and investors compensation scheme for customers of authorised financial services firms," pay compensation if a firm is unable , or likely to be unable , to pay claims against it",2898
what is the maximum amount of time high risk food can be in the temperature danger zone,"['what', 'is', 'the', 'maximum', 'amount', 'of', 'time', 'high', 'risk', 'food', 'can', 'be', 'in', 'the', 'temperature', 'danger', 'zone']",two hours, two hours,1898
what is the maximum term a us president can serve,"['what', 'is', 'the', 'maximum', 'term', 'a', 'us', 'president', 'can', 'serve']",two four year terms, two four - year terms,837
what is the meaning of loudness in science,"['what', 'is', 'the', 'meaning', 'of', 'loudness', 'in', 'science']",subjective perception of sound pressure, the subjective perception of sound pressure,5643
what is the meaning of prem ratan dhan payo in english,"['what', 'is', 'the', 'meaning', 'of', 'prem', 'ratan', 'dhan', 'payo', 'in', 'english']",found a treasure called love, Found a Treasure Called Love,572
what is the meaning of surah al baqarah,"['what', 'is', 'the', 'meaning', 'of', 'surah', 'al', 'baqarah']",the cow, The Cow,1131
what is the meaning of the name ashish,"['what', 'is', 'the', 'meaning', 'of', 'the', 'name', 'ashish']",blessing from the elderly or aashirwaad blessing, blessing from the elderly or Aashirwaad ( blessing ),4
what is the meaning of the name gisela,"['what', 'is', 'the', 'meaning', 'of', 'the', 'name', 'gisela']",pledge, pledge,3464
what is the meaning of the proverb still waters run deep,"['what', 'is', 'the', 'meaning', 'of', 'the', 'proverb', 'still', 'waters', 'run', 'deep']",that a placid exterior hides a passionate or subtle nature, commonly taken to mean that a placid exterior hides a passionate or subtle nature,3133
what is the most threatened animal in the world,"['what', 'is', 'the', 'most', 'threatened', 'animal', 'in', 'the', 'world']",abies beshanzuensis, Actinote zikani,820
what is the name of airport in rome italy,"['what', 'is', 'the', 'name', 'of', 'airport', 'in', 'rome', 'italy']",leonardo da vinci international airport, Leonardo da Vinci International Airport,4511
what is the name of an australian wasp,"['what', 'is', 'the', 'name', 'of', 'an', 'australian', 'wasp']",aha ha, Aha ha,4539
what is the name of arasamaram in english,"['what', 'is', 'the', 'name', 'of', 'arasamaram', 'in', 'english']",ficus religiosa or sacred fig, sacred fig,891
what is the name of india before partition,"['what', 'is', 'the', 'name', 'of', 'india', 'before', 'partition']",republic of india and the dominion of pakistan is today the islamic republic of pakistan and the people s republic of bangladesh the partition involved the division of three provinces assam bengal and the punjab based on district wide hindu or muslim majorities the boundary demarcating india and pakistan became known as the radcliffe line, British India,4771
what is the name of the cat in tom and jerry,"['what', 'is', 'the', 'name', 'of', 'the', 'cat', 'in', 'tom', 'and', 'jerry']",tom, Tom,867
what is the name of the chameleon in tangled,"['what', 'is', 'the', 'name', 'of', 'the', 'chameleon', 'in', 'tangled']",pascal and maximus, Pascal,1999
what is the name of the country in the black panther movie,"['what', 'is', 'the', 'name', 'of', 'the', 'country', 'in', 'the', 'black', 'panther', 'movie']",, Wakanda,336
what is the name of the famous classical dance of odisha,"['what', 'is', 'the', 'name', 'of', 'the', 'famous', 'classical', 'dance', 'of', 'odisha']",odissi, Odissi,4966
what is the name of the good the bad and the ugly theme song,"['what', 'is', 'the', 'name', 'of', 'the', 'good', 'the', 'bad', 'and', 'the', 'ugly', 'theme', 'song']",the good the bad and the ugly," `` The Good , the Bad and the Ugly ''",5796
what is the name of the korean alphabet,"['what', 'is', 'the', 'name', 'of', 'the', 'korean', 'alphabet']",hangul h n you l hahn gool, Hangul,3270
what is the name of the process used to separate the components of petroleum,"['what', 'is', 'the', 'name', 'of', 'the', 'process', 'used', 'to', 'separate', 'the', 'components', 'of', 'petroleum']",fractional distillation, fractional distillation,5370
what is the name of the roman god of war,"['what', 'is', 'the', 'name', 'of', 'the', 'roman', 'god', 'of', 'war']",mars, Mars,3490
what is the name of the sea surrounding dubai,"['what', 'is', 'the', 'name', 'of', 'the', 'sea', 'surrounding', 'dubai']",dubai du ba doo, Persian Gulf,32
what is the name of the youth loved by salmacis,"['what', 'is', 'the', 'name', 'of', 'the', 'youth', 'loved', 'by', 'salmacis']",hermaphroditus, Hermaphroditus,244
what is the name of train station in florence,"['what', 'is', 'the', 'name', 'of', 'train', 'station', 'in', 'florence']",firenze santa maria novella, Firenze Santa Maria Novella ( in English Florence Santa Maria Novella ) or Stazione di Santa Maria Novella,5956
what is the national anthem of sri lanka,"['what', 'is', 'the', 'national', 'anthem', 'of', 'sri', 'lanka']",matha, Sri Lanka Matha,1802
what is the nissan patrol called in usa,"['what', 'is', 'the', 'nissan', 'patrol', 'called', 'in', 'usa']",armada, Nissan Armada,2821
what is the old kingdom of egypt known for,"['what', 'is', 'the', 'old', 'kingdom', 'of', 'egypt', 'known', 'for']",pyramids, Pyramids,4437
what is the old name of madina tul munawarh,"['what', 'is', 'the', 'old', 'name', 'of', 'madina', 'tul', 'munawarh']",yathrib, Yathrib,3832
what is the old name of state bank of india,"['what', 'is', 'the', 'old', 'name', 'of', 'state', 'bank', 'of', 'india']",calcutta, Imperial Bank of India,848
what is the oldest football competition in the world,"['what', 'is', 'the', 'oldest', 'football', 'competition', 'in', 'the', 'world']",," Melbourne Grammar School - Scotch College Cordner - Eggleston Cup , 1989 --",4393
what is the oldest university in the philippines,"['what', 'is', 'the', 'oldest', 'university', 'in', 'the', 'philippines']",university of san carlos, University of San Carlos,3996
what is the origin of es cells in development,"['what', 'is', 'the', 'origin', 'of', 'es', 'cells', 'in', 'development']",from the inner cell mass of a blastocyst," the inner cell mass of a blastocyst , an early - stage pre-implantation embryo",1657
what is the os of samsung smart tv,"['what', 'is', 'the', 'os', 'of', 'samsung', 'smart', 'tv']",, Samsung,4318
what is the premium amount for the pradhan mantri suraksha bima yojana,"['what', 'is', 'the', 'premium', 'amount', 'for', 'the', 'pradhan', 'mantri', 'suraksha', 'bima', 'yojana']",annual premium of us exclusive of taxes, annual premium of ₹ 12 ( 19 ¢ US ) exclusive of taxes,2915
what is the proper term used for the signature given by celebrities to their fans,"['what', 'is', 'the', 'proper', 'term', 'used', 'for', 'the', 'signature', 'given', 'by', 'celebrities', 'to', 'their', 'fans']",autograph, Autograph,309
what is the purpose of an accident report,"['what', 'is', 'the', 'purpose', 'of', 'an', 'accident', 'report']",record details of an unusual event that occurs at the facility such as an injury to a patient," to record details of an unusual event that occurs at the facility , such as an injury to a patient",5328
what is the purpose of online shopping websites,"['what', 'is', 'the', 'purpose', 'of', 'online', 'shopping', 'websites']",allows consumers to directly buy goods or services from a seller over the internet using a web browser, allows consumers to directly buy goods or services from a seller over the Internet using a web browser,1993
what is the purpose of the book of leviticus,"['what', 'is', 'the', 'purpose', 'of', 'the', 'book', 'of', 'leviticus']",ritual legal and moral practices rather than beliefs," ritual , legal and moral practices",2834
what is the purpose of the ecumenical council,"['what', 'is', 'the', 'purpose', 'of', 'the', 'ecumenical', 'council']",discuss and settle matters of church doctrine and practice, to discuss and settle matters of Church doctrine and practice,5586
what is the purpose of the indicator strip in the gaspak system,"['what', 'is', 'the', 'purpose', 'of', 'the', 'indicator', 'strip', 'in', 'the', 'gaspak', 'system']",tells whether the environment was indeed oxygen free or not, whether the environment was indeed oxygen free or not,105
what is the purpose of the perodic table,"['what', 'is', 'the', 'purpose', 'of', 'the', 'perodic', 'table']",utilized to derive relationships between various element properties but also predicted chemical properties and behaviours of undiscovered or newly synthesized elements, provides a useful framework for analyzing chemical reactions,5760
what is the reason of war between saudi and yemen,"['what', 'is', 'the', 'reason', 'of', 'war', 'between', 'saudi', 'and', 'yemen']",influence the outcome of the yemeni civil war, influence the outcome of the Yemeni Civil War in favour of the government of President Abdrabbuh Mansur Hadi,2635
what is the rhyme scheme of the poem death be not proud by john donne,"['what', 'is', 'the', 'rhyme', 'scheme', 'of', 'the', 'poem', 'death', 'be', 'not', 'proud', 'by', 'john', 'donne']",, abba abba cddcae,3736
what is the richest company in south africa,"['what', 'is', 'the', 'richest', 'company', 'in', 'south', 'africa']",sasol, Sasol,5371
what is the role of australian human rights commission,"['what', 'is', 'the', 'role', 'of', 'australian', 'human', 'rights', 'commission']",investigating alleged infringements under australia s anti discrimination legislation in relation to commonwealth agencies, investigating alleged infringements under Australia 's anti-discrimination legislation in relation to Commonwealth Agencies,2270
